split,scene,object_id,num_observations,first_frame,last_frame,start_xyz,end_xyz,net_displacement_m,path_length_m,max_step_m,is_moving,move_segments
train,Warehouse_000,11294,8626,0,8999,-63.000002 -58.951450 1.413353,-62.998841 -58.951435 1.413353,0.001161,164.263036,3.998243,True,"[{""start_frame"": 2182, ""end_frame"": 2226, ""start_xyz"": [-91.36191618613157, -76.50133668918154, 1.4133532041020893], ""end_xyz"": [-89.8999438350572, -76.50212221164216, 1.4133532041020893], ""distance_m"": 1.4619725621062263}, {""start_frame"": 2237, ""end_frame"": 2357, ""start_xyz"": [-89.53411436728402, -76.50227510470873, 1.4133532041020893], ""end_xyz"": [-85.53587187460818, -76.50330995578267, 1.4133532041020893], ""distance_m"": 3.9982426265992763}, {""start_frame"": 2366, ""end_frame"": 2421, ""start_xyz"": [-85.23555815390509, -76.503325519748, 1.4133532041020893], ""end_xyz"": [-83.39921141318229, -76.50339387912268, 1.4133532041020893], ""distance_m"": 1.8363467419951673}, {""start_frame"": 2477, ""end_frame"": 2574, ""start_xyz"": [-81.52806425742074, -76.50325166720873, 1.4133532041020893], ""end_xyz"": [-78.28522093466708, -76.50268465060697, 1.4133532041020893], ""distance_m"": 3.2428433723255594}, {""start_frame"": 2880, ""end_frame"": 2943, ""start_xyz"": [-68.07135100058477, -76.50024812716953, 1.4133532041020893], ""end_xyz"": [-65.97736448935422, -76.50002931613432, 1.4133532041020893], ""distance_m"": 2.0939865226628793}]"
train,Warehouse_000,14,9000,0,8999,-10.349040 -82.765676 1.413353,-10.216237 -82.698895 1.413353,0.148648,248.613561,0.049919,True,[]
train,Warehouse_000,4052,9000,0,8999,-41.146132 -63.065714 1.413353,-40.979448 -63.065687 1.413353,0.166683,288.536776,0.051909,True,[]
train,Warehouse_000,4486,9000,0,8999,-71.583592 -13.351610 1.131379,-71.583592 -13.351610 1.131379,0.000000,0.000000,0.000000,False,[]
train,Warehouse_000,6813,9000,0,8999,-73.868569 -13.309327 1.126006,-73.868569 -13.309327 1.126006,0.000000,0.000000,0.000000,False,[]
train,Warehouse_000,7055,9000,0,8999,-35.121771 -92.642378 1.413353,-35.121583 -92.642378 1.413353,0.000188,203.157449,0.049977,True,[]
train,Warehouse_000,7058,9000,0,8999,-31.448550 -76.277948 1.413353,-31.448352 -76.278210 1.413353,0.000328,229.003923,0.053300,True,[]
train,Warehouse_000,8,9000,0,8999,-9.948553 -78.914995 1.413353,-9.948553 -78.914994 1.413353,0.000000,167.066904,0.044349,True,[]
train,Warehouse_000,8469,9000,0,8999,-68.317817 -53.844431 1.413353,-68.317817 -53.844431 1.413353,0.000000,0.000000,0.000000,False,[]
train,Warehouse_001,11294,8626,0,8999,-63.000002 -58.951450 1.413353,-62.998841 -58.951435 1.413353,0.001161,164.263036,3.998243,True,"[{""start_frame"": 2182, ""end_frame"": 2226, ""start_xyz"": [-91.36191618613157, -76.50133668918154, 1.4133532041020893], ""end_xyz"": [-89.8999438350572, -76.50212221164216, 1.4133532041020893], ""distance_m"": 1.4619725621062263}, {""start_frame"": 2237, ""end_frame"": 2357, ""start_xyz"": [-89.53411436728402, -76.50227510470873, 1.4133532041020893], ""end_xyz"": [-85.53587187460818, -76.50330995578267, 1.4133532041020893], ""distance_m"": 3.9982426265992763}, {""start_frame"": 2366, ""end_frame"": 2421, ""start_xyz"": [-85.23555815390509, -76.503325519748, 1.4133532041020893], ""end_xyz"": [-83.39921141318229, -76.50339387912268, 1.4133532041020893], ""distance_m"": 1.8363467419951673}, {""start_frame"": 2477, ""end_frame"": 2574, ""start_xyz"": [-81.52806425742074, -76.50325166720873, 1.4133532041020893], ""end_xyz"": [-78.28522093466708, -76.50268465060697, 1.4133532041020893], ""distance_m"": 3.2428433723255594}, {""start_frame"": 2880, ""end_frame"": 2943, ""start_xyz"": [-68.07135100058477, -76.50024812716953, 1.4133532041020893], ""end_xyz"": [-65.97736448935422, -76.50002931613432, 1.4133532041020893], ""distance_m"": 2.0939865226628793}]"
