split,scene,class_label,class_name,num_objects,present_frame_range,fr_start,fr_end,move,moving_object_count,static_object_count,moving_intervals
train,Warehouse_000,0,Person,60,0->8999,0,8999,TRUE,52,8,153->154;182->182;209->209;212->212;223->223;283->283;332->332;343->343;351->351;358->358;392->392;415->415;418->418;423->423;429->429;435->435;448->448;473->473;478->480;487->487;489->489;499->499;501->501;509->509;515->515;533->533;542->542;547->547;557->557;574->574;578->578;585->585;587->587;595->595;616->616;621->621;631->631;639->639;651->651;665->665;670->670;699->699;720->720;737->737;748->748;753->753;755->755;781->781;786->786;807->807;812->812;851->851;865->866;892->892;900->900;918->918;921->921;924->924;1041->1041;1093->1093;1120->1120;1127->1127;1141->1141;1147->1147;1150->1150;1158->1158;1186->1186;1197->1197;1206->1206;1214->1214;1231->1232;1258->1258;1311->1311;1322->1322;1329->1329;1365->1365;1387->1387;1432->1432;1437->1437;1447->1447;1494->1494;1498->1498;1540->1540;1559->1559;1568->1568;1577->1577;1582->1582;1588->1588;1600->1600;1616->1617;1632->1633;1640->1640;1650->1650;1676->1676;1681->1681;1698->1698;1715->1715;1721->1723;1730->1730;1750->1750;1760->1760;1763->1764;1783->1783;1791->1791;1810->1810;1825->1825;1841->1841;1846->1846;1916->1916;1920->1920;1964->1964;1995->1995;1998->1998;2013->2013;2021->2021;2031->2031;2040->2040;2065->2065;2078->2078;2146->2146;2176->2176;2190->2190;2197->2197;2213->2213;2226->2226;2258->2258;2282->2282;2291->2291;2308->2308;2310->2310;2318->2318;2350->2350;2516->2516;2524->2524;2556->2556;2567->2567;2569->2569;2600->2600;2620->2621;2653->2653;2665->2665;2695->2695;2734->2734;2776->2776;2784->2784;2800->2800;2810->2810;2813->2813;2830->2830;2858->2859;2878->2879;2914->2914;2936->2936;2941->2941;2943->2943;2952->2952;2983->2983;2987->2987;2992->2993;3012->3012;3014->3015;3053->3053;3059->3059;3076->3076;3084->3084;3088->3088;3116->3116;3133->3133;3166->3166;3202->3202;3238->3238;3265->3265;3319->3319;3322->3322;3371->3371;3384->3384;3388->3388;3416->3416;3433->3433;3511->3511;3544->3544;3603->3603;3622->3622;3632->3632;3638->3638;3655->3655;3670->3670;3716->3716;3723->3723;3750->3750;3771->3771;3780->3780;3791->3791;3795->3795;3801->3801;3814->3814;3824->3824;3844->3844;3885->3885;3916->3916;3933->3933;3952->3952;4005->4005;4033->4033;4069->4070;4078->4078;4092->4092;4101->4101;4139->4139;4149->4149;4154->4154;4186->4186;4193->4193;4209->4209;4226->4226;4288->4288;4304->4305;4328->4328;4368->4368;4384->4384;4392->4392;4435->4435;4488->4488;4501->4501;4537->4537;4542->4543;4598->4598;4622->4622;4687->4687;4690->4690;4722->4722;4734->4734;4770->4770;4792->4792;4822->4822;4829->4829;4835->4835;4926->4926;4984->4984;4996->4996;5011->5011;5014->5014;5030->5031;5036->5036;5047->5047;5077->5077;5082->5082;5108->5108;5120->5120;5123->5123;5130->5130;5193->5193;5233->5233;5255->5256;5264->5264;5274->5274;5281->5281;5290->5290;5312->5312;5324->5324;5328->5328;5386->5386;5393->5393;5444->5444;5476->5476;5480->5480;5492->5492;5495->5495;5509->5509;5558->5558;5623->5624;5630->5630;5639->5639;5648->5648;5652->5652;5669->5669;5676->5676;5710->5710;5712->5712;5748->5748;5784->5784;5790->5790;5793->5793;5825->5825;5830->5830;5853->5853;5865->5865;5877->5877;5885->5885;5920->5920;5936->5936;5975->5975;5989->5989;5997->5997;6025->6025;6061->6061;6089->6089;6100->6100;6105->6105;6140->6140;6149->6149;6183->6183;6197->6197;6237->6237;6241->6242;6322->6322;6329->6329;6332->6332;6343->6343;6356->6356;6358->6358;6400->6400;6408->6408;6420->6420;6425->6425;6441->6441;6447->6447;6475->6475;6487->6487;6498->6498;6501->6502;6509->6509;6517->6517;6528->6528;6539->6539;6566->6566;6569->6570;6592->6592;6595->6595;6606->6606;6624->6624;6627->6627;6648->6648;6665->6665;6682->6682;6685->6685;6699->6699;6703->6703;6719->6719;6734->6734;6738->6738;6755->6755;6767->6767;6786->6786;6796->6796;6824->6824;6944->6944;6980->6980;6983->6983;7003->7003;7022->7022;7028->7028;7094->7094;7141->7141;7152->7152;7180->7180;7206->7206;7308->7308;7341->7341;7343->7343;7418->7418;7439->7439;7450->7450;7453->7453;7519->7519;7523->7523;7530->7530;7541->7541;7574->7574;7589->7589;7611->7611;7619->7619;7649->7649;7738->7738;7761->7761;7764->7764;7783->7783;7816->7816;7836->7836;7862->7862;7864->7864;7869->7869;7879->7879;7894->7894;7909->7909;7913->7913;7945->7945;8003->8003;8077->8077;8113->8113;8127->8127;8154->8154;8157->8157;8190->8190;8240->8240;8330->8330;8345->8345;8368->8368;8388->8388;8416->8416;8438->8438;8458->8458;8461->8461;8469->8469;8487->8487;8512->8512;8514->8514;8656->8656;8679->8679;8691->8691;8718->8718;8749->8749;8762->8762;8780->8780;8806->8806;8833->8833;8852->8852;8906->8906;8958->8958;8974->8974
train,Warehouse_000,1,Forklift,9,0->8999,0,8999,TRUE,1,8,2226->2226;2357->2357;2421->2421;2574->2574;2943->2943
train,Warehouse_000,6,PalletTruck,10,0->8999,0,8999,FALSE,0,10,None
train,Warehouse_001,0,Person,60,0->8999,0,8999,TRUE,52,8,153->154;182->182;209->209;212->212;223->223;283->283;332->332;343->343;351->351;358->358;392->392;415->415;418->418;423->423;429->429;435->435;448->448;473->473;478->480;487->487;489->489;499->499;501->501;509->509;515->515;533->533;542->542;547->547;557->557;574->574;578->578;585->585;587->587;595->595;616->616;621->621;631->631;639->639;651->651;665->665;670->670;699->699;720->720;737->737;748->748;753->753;755->755;781->781;786->786;807->807;812->812;851->851;865->866;892->892;900->900;918->918;921->921;924->924;1041->1041;1093->1093;1120->1120;1127->1127;1141->1141;1147->1147;1150->1150;1158->1158;1186->1186;1197->1197;1206->1206;1214->1214;1231->1232;1258->1258;1311->1311;1322->1322;1329->1329;1365->1365;1387->1387;1432->1432;1437->1437;1447->1447;1494->1494;1498->1498;1540->1540;1559->1559;1568->1568;1577->1577;1582->1582;1588->1588;1600->1600;1616->1617;1632->1633;1640->1640;1650->1650;1676->1676;1681->1681;1698->1698;1715->1715;1721->1723;1730->1730;1750->1750;1760->1760;1763->1764;1783->1783;1791->1791;1810->1810;1825->1825;1841->1841;1846->1846;1916->1916;1920->1920;1964->1964;1995->1995;1998->1998;2013->2013;2021->2021;2031->2031;2040->2040;2065->2065;2078->2078;2146->2146;2176->2176;2190->2190;2197->2197;2213->2213;2226->2226;2258->2258;2282->2282;2291->2291;2308->2308;2310->2310;2318->2318;2350->2350;2516->2516;2524->2524;2556->2556;2567->2567;2569->2569;2600->2600;2620->2621;2653->2653;2665->2665;2695->2695;2734->2734;2776->2776;2784->2784;2800->2800;2810->2810;2813->2813;2830->2830;2858->2859;2878->2879;2914->2914;2936->2936;2941->2941;2943->2943;2952->2952;2983->2983;2987->2987;2992->2993;3012->3012;3014->3015;3053->3053;3059->3059;3076->3076;3084->3084;3088->3088;3116->3116;3133->3133;3166->3166;3202->3202;3238->3238;3265->3265;3319->3319;3322->3322;3371->3371;3384->3384;3388->3388;3416->3416;3433->3433;3511->3511;3544->3544;3603->3603;3622->3622;3632->3632;3638->3638;3655->3655;3670->3670;3716->3716;3723->3723;3750->3750;3771->3771;3780->3780;3791->3791;3795->3795;3801->3801;3814->3814;3824->3824;3844->3844;3885->3885;3916->3916;3933->3933;3952->3952;4005->4005;4033->4033;4069->4070;4078->4078;4092->4092;4101->4101;4139->4139;4149->4149;4154->4154;4186->4186;4193->4193;4209->4209;4226->4226;4288->4288;4304->4305;4328->4328;4368->4368;4384->4384;4392->4392;4435->4435;4488->4488;4501->4501;4537->4537;4542->4543;4598->4598;4622->4622;4687->4687;4690->4690;4722->4722;4734->4734;4770->4770;4792->4792;4822->4822;4829->4829;4835->4835;4926->4926;4984->4984;4996->4996;5011->5011;5014->5014;5030->5031;5036->5036;5047->5047;5077->5077;5082->5082;5108->5108;5120->5120;5123->5123;5130->5130;5193->5193;5233->5233;5255->5256;5264->5264;5274->5274;5281->5281;5290->5290;5312->5312;5324->5324;5328->5328;5386->5386;5393->5393;5444->5444;5476->5476;5480->5480;5492->5492;5495->5495;5509->5509;5558->5558;5623->5624;5630->5630;5639->5639;5648->5648;5652->5652;5669->5669;5676->5676;5710->5710;5712->5712;5748->5748;5784->5784;5790->5790;5793->5793;5825->5825;5830->5830;5853->5853;5865->5865;5877->5877;5885->5885;5920->5920;5936->5936;5975->5975;5989->5989;5997->5997;6025->6025;6061->6061;6089->6089;6100->6100;6105->6105;6140->6140;6149->6149;6183->6183;6197->6197;6237->6237;6241->6242;6322->6322;6329->6329;6332->6332;6343->6343;6356->6356;6358->6358;6400->6400;6408->6408;6420->6420;6425->6425;6441->6441;6447->6447;6475->6475;6487->6487;6498->6498;6501->6502;6509->6509;6517->6517;6528->6528;6539->6539;6566->6566;6569->6570;6592->6592;6595->6595;6606->6606;6624->6624;6627->6627;6648->6648;6665->6665;6682->6682;6685->6685;6699->6699;6703->6703;6719->6719;6734->6734;6738->6738;6755->6755;6767->6767;6786->6786;6796->6796;6824->6824;6944->6944;6980->6980;6983->6983;7003->7003;7022->7022;7028->7028;7094->7094;7141->7141;7152->7152;7180->7180;7206->7206;7308->7308;7341->7341;7343->7343;7418->7418;7439->7439;7450->7450;7453->7453;7519->7519;7523->7523;7530->7530;7541->7541;7574->7574;7589->7589;7611->7611;7619->7619;7649->7649;7738->7738;7761->7761;7764->7764;7783->7783;7816->7816;7836->7836;7862->7862;7864->7864;7869->7869;7879->7879;7894->7894;7909->7909;7913->7913;7945->7945;8003->8003;8077->8077;8113->8113;8127->8127;8154->8154;8157->8157;8190->8190;8240->8240;8330->8330;8345->8345;8368->8368;8388->8388;8416->8416;8438->8438;8458->8458;8461->8461;8469->8469;8487->8487;8512->8512;8514->8514;8656->8656;8679->8679;8691->8691;8718->8718;8749->8749;8762->8762;8780->8780;8806->8806;8833->8833;8852->8852;8906->8906;8958->8958;8974->8974
train,Warehouse_001,1,Forklift,9,0->8999,0,8999,TRUE,1,8,2226->2226;2357->2357;2421->2421;2574->2574;2943->2943
train,Warehouse_001,6,PalletTruck,10,0->8999,0,8999,FALSE,0,10,None
train,Warehouse_002,0,Person,60,0->8999,0,8999,TRUE,53,7,146->146;154->154;159->159;268->268;282->282;292->292;389->389;392->392;432->432;489->489;579->579;584->584;602->602;698->699;710->710;713->713;738->738;754->755;758->758;782->782;785->785;839->839;858->858;864->864;866->866;899->900;942->942;976->976;989->989;991->991;993->993;999->999;1024->1024;1041->1041;1052->1052;1089->1089;1123->1123;1133->1133;1137->1137;1146->1146;1155->1156;1161->1161;1169->1169;1192->1192;1223->1223;1249->1249;1259->1259;1263->1263;1312->1312;1336->1336;1369->1369;1384->1384;1399->1399;1423->1423;1433->1433;1444->1444;1458->1458;1469->1469;1482->1482;1486->1486;1500->1500;1516->1516;1518->1518;1530->1530;1543->1543;1548->1548;1575->1575;1721->1721;1780->1780;1815->1815;1827->1827;1844->1844;1860->1860;1882->1882;1908->1908;1920->1920;1931->1931;1934->1934;1974->1974;2038->2038;2041->2041;2063->2063;2069->2069;2092->2092;2100->2100;2151->2151;2157->2157;2190->2190;2230->2230;2240->2240;2242->2242;2330->2330;2344->2344;2347->2347;2350->2350;2382->2382;2429->2429;2438->2438;2456->2456;2466->2466;2523->2523;2544->2544;2549->2549;2581->2581;2585->2585;2588->2588;2613->2613;2618->2618;2623->2623;2670->2670;2684->2684;2691->2691;2695->2695;2716->2716;2729->2731;2829->2829;2887->2887;2896->2896;2931->2931;2944->2944;2955->2955;3035->3035;3043->3043;3062->3062;3067->3067;3078->3078;3083->3083;3086->3086;3090->3090;3097->3097;3107->3107;3123->3123;3193->3193;3195->3195;3275->3275;3288->3288;3306->3306;3316->3316;3350->3350;3388->3388;3404->3404;3422->3422;3427->3427;3435->3435;3445->3445;3456->3456;3462->3462;3479->3479;3497->3497;3538->3538;3542->3542;3554->3554;3586->3586;3593->3593;3619->3619;3691->3691;3697->3697;3700->3700;3746->3746;3813->3813;3825->3825;3872->3872;3874->3874;3887->3887;3906->3906;3945->3945;4020->4020;4036->4036;4050->4050;4065->4065;4078->4078;4082->4082;4095->4095;4110->4110;4139->4139;4143->4143;4165->4165;4183->4183;4204->4204;4217->4217;4229->4229;4244->4244;4254->4254;4276->4276;4351->4351;4427->4427;4440->4440;4475->4475;4505->4505;4513->4513;4528->4528;4535->4536;4559->4559;4568->4568;4578->4578;4611->4612;4631->4631;4635->4635;4645->4645;4655->4655;4663->4663;4692->4692;4695->4695;4699->4699;4774->4774;4785->4785;4787->4787;4803->4803;4810->4810;4868->4868;4890->4890;4910->4910;4943->4943;4994->4994;5054->5055;5082->5082;5090->5091;5098->5098;5107->5107;5134->5134;5150->5150;5172->5172;5212->5212;5215->5215;5228->5229;5261->5261;5298->5298;5304->5304;5314->5314;5320->5320;5324->5324;5340->5340;5344->5344;5346->5346;5367->5367;5428->5428;5432->5432;5451->5451;5495->5495;5509->5509;5525->5525;5559->5559;5579->5579;5732->5732;5749->5749;5771->5771;5775->5775;5789->5789;5813->5813;5829->5829;5859->5859;5874->5874;5909->5909;5930->5930;5945->5945;6027->6027;6039->6039;6092->6092;6099->6099;6111->6111;6117->6117;6119->6119;6148->6148;6173->6173;6179->6179;6211->6211;6214->6214;6240->6240;6243->6243;6261->6261;6266->6266;6284->6284;6295->6295;6297->6297;6313->6313;6319->6319;6362->6362;6445->6445;6451->6451;6480->6480;6492->6492;6635->6635;6656->6656;6691->6691;6702->6702;6723->6723;6755->6755;6762->6763;6772->6772;6783->6783;6788->6788;6796->6796;6809->6809;6818->6818;6926->6926;7011->7011;7020->7020;7091->7091;7103->7103;7112->7112;7128->7128;7153->7153;7232->7232;7270->7270;7309->7309;7321->7321;7330->7330;7364->7364;7382->7382;7402->7402;7431->7431;7436->7437;7444->7444;7446->7446;7464->7464;7470->7470;7487->7487;7539->7539;7610->7610;7637->7637;7648->7648;7708->7708;7725->7725;7757->7757;7770->7770;7795->7795;7804->7804;7836->7836;7843->7843;7851->7851;7870->7870;7875->7875;7882->7882;7890->7890;7899->7899;7904->7904;7912->7912;7921->7921;7929->7929;7940->7940;7948->7948;7966->7966;7992->7992;8023->8023;8040->8040;8059->8059;8113->8113;8132->8132;8149->8149;8163->8163;8165->8165;8176->8176;8184->8184;8191->8191;8216->8216;8220->8220;8237->8238;8242->8242;8262->8262;8291->8291;8321->8321;8329->8329;8364->8364;8366->8366;8391->8391;8407->8407;8449->8449;8508->8508;8537->8537;8547->8547;8553->8553;8559->8559;8572->8572;8579->8580;8597->8597;8632->8632;8649->8649;8651->8651;8658->8658;8664->8664;8673->8674;8698->8698;8700->8700;8725->8725;8781->8781;8786->8786;8815->8815;8840->8840;8853->8853;8906->8906
train,Warehouse_002,1,Forklift,9,0->8999,0,8999,TRUE,4,5,261->261;389->389;1026->1026;1654->1654;1724->1724;1735->1735;1928->1928;1931->1931;2154->2154;2555->2555;3808->3808;4050->4050;4507->4507;4763->4763;4928->4928;5526->5526;5555->5555;6665->6665;7774->7774;7787->7787;7928->7928;8555->8555
train,Warehouse_002,6,PalletTruck,9,0->8999,0,8999,FALSE,0,9,None
train,Warehouse_003,0,Person,60,0->8999,0,8999,TRUE,53,7,146->146;154->154;159->159;268->268;282->282;292->292;389->389;392->392;432->432;489->489;579->579;584->584;602->602;698->699;710->710;713->713;738->738;754->755;758->758;782->782;785->785;839->839;858->858;864->864;866->866;899->900;942->942;976->976;989->989;991->991;993->993;999->999;1024->1024;1041->1041;1052->1052;1089->1089;1123->1123;1133->1133;1137->1137;1146->1146;1155->1156;1161->1161;1169->1169;1192->1192;1223->1223;1249->1249;1259->1259;1263->1263;1312->1312;1336->1336;1369->1369;1384->1384;1399->1399;1423->1423;1433->1433;1444->1444;1458->1458;1469->1469;1482->1482;1486->1486;1500->1500;1516->1516;1518->1518;1530->1530;1543->1543;1548->1548;1575->1575;1721->1721;1780->1780;1815->1815;1827->1827;1844->1844;1860->1860;1882->1882;1908->1908;1920->1920;1931->1931;1934->1934;1974->1974;2038->2038;2041->2041;2063->2063;2069->2069;2092->2092;2100->2100;2151->2151;2157->2157;2190->2190;2230->2230;2240->2240;2242->2242;2330->2330;2344->2344;2347->2347;2350->2350;2382->2382;2429->2429;2438->2438;2456->2456;2466->2466;2523->2523;2544->2544;2549->2549;2581->2581;2585->2585;2588->2588;2613->2613;2618->2618;2623->2623;2670->2670;2684->2684;2691->2691;2695->2695;2716->2716;2729->2731;2829->2829;2887->2887;2896->2896;2931->2931;2944->2944;2955->2955;3035->3035;3043->3043;3062->3062;3067->3067;3078->3078;3083->3083;3086->3086;3090->3090;3097->3097;3107->3107;3123->3123;3193->3193;3195->3195;3275->3275;3288->3288;3306->3306;3316->3316;3350->3350;3388->3388;3404->3404;3422->3422;3427->3427;3435->3435;3445->3445;3456->3456;3462->3462;3479->3479;3497->3497;3538->3538;3542->3542;3554->3554;3586->3586;3593->3593;3619->3619;3691->3691;3697->3697;3700->3700;3746->3746;3813->3813;3825->3825;3872->3872;3874->3874;3887->3887;3906->3906;3945->3945;4020->4020;4036->4036;4050->4050;4065->4065;4078->4078;4082->4082;4095->4095;4110->4110;4139->4139;4143->4143;4165->4165;4183->4183;4204->4204;4217->4217;4229->4229;4244->4244;4254->4254;4276->4276;4351->4351;4427->4427;4440->4440;4475->4475;4505->4505;4513->4513;4528->4528;4535->4536;4559->4559;4568->4568;4578->4578;4611->4612;4631->4631;4635->4635;4645->4645;4655->4655;4663->4663;4692->4692;4695->4695;4699->4699;4774->4774;4785->4785;4787->4787;4803->4803;4810->4810;4868->4868;4890->4890;4910->4910;4943->4943;4994->4994;5054->5055;5082->5082;5090->5091;5098->5098;5107->5107;5134->5134;5150->5150;5172->5172;5212->5212;5215->5215;5228->5229;5261->5261;5298->5298;5304->5304;5314->5314;5320->5320;5324->5324;5340->5340;5344->5344;5346->5346;5367->5367;5428->5428;5432->5432;5451->5451;5495->5495;5509->5509;5525->5525;5559->5559;5579->5579;5732->5732;5749->5749;5771->5771;5775->5775;5789->5789;5813->5813;5829->5829;5859->5859;5874->5874;5909->5909;5930->5930;5945->5945;6027->6027;6039->6039;6092->6092;6099->6099;6111->6111;6117->6117;6119->6119;6148->6148;6173->6173;6179->6179;6211->6211;6214->6214;6240->6240;6243->6243;6261->6261;6266->6266;6284->6284;6295->6295;6297->6297;6313->6313;6319->6319;6362->6362;6445->6445;6451->6451;6480->6480;6492->6492;6635->6635;6656->6656;6691->6691;6702->6702;6723->6723;6755->6755;6762->6763;6772->6772;6783->6783;6788->6788;6796->6796;6809->6809;6818->6818;6926->6926;7011->7011;7020->7020;7091->7091;7103->7103;7112->7112;7128->7128;7153->7153;7232->7232;7270->7270;7309->7309;7321->7321;7330->7330;7364->7364;7382->7382;7402->7402;7431->7431;7436->7437;7444->7444;7446->7446;7464->7464;7470->7470;7487->7487;7539->7539;7610->7610;7637->7637;7648->7648;7708->7708;7725->7725;7757->7757;7770->7770;7795->7795;7804->7804;7836->7836;7843->7843;7851->7851;7870->7870;7875->7875;7882->7882;7890->7890;7899->7899;7904->7904;7912->7912;7921->7921;7929->7929;7940->7940;7948->7948;7966->7966;7992->7992;8023->8023;8040->8040;8059->8059;8113->8113;8132->8132;8149->8149;8163->8163;8165->8165;8176->8176;8184->8184;8191->8191;8216->8216;8220->8220;8237->8238;8242->8242;8262->8262;8291->8291;8321->8321;8329->8329;8364->8364;8366->8366;8391->8391;8407->8407;8449->8449;8508->8508;8537->8537;8547->8547;8553->8553;8559->8559;8572->8572;8579->8580;8597->8597;8632->8632;8649->8649;8651->8651;8658->8658;8664->8664;8673->8674;8698->8698;8700->8700;8725->8725;8781->8781;8786->8786;8815->8815;8840->8840;8853->8853;8906->8906
