split,scene,object_id,num_observations,first_frame,last_frame,start_xyz,end_xyz,net_displacement_m,path_length_m,max_step_m,is_moving,move_segments
train,Warehouse_000,247,9000,0,8999,-62.604521 -12.297619 0.978722,-62.604521 -12.297619 0.978722,0.000000,0.000000,0.000000,False,[]
train,Warehouse_000,248,9000,0,8999,-61.237621 -12.635067 0.978720,-61.237621 -12.635067 0.978720,0.000000,0.000000,0.000000,False,[]
train,Warehouse_000,249,9000,0,8999,-63.892385 -12.281605 0.636726,-63.892385 -12.281605 0.636726,0.000000,0.000000,0.000000,False,[]
train,Warehouse_000,2833,9000,0,8999,-14.624658 -51.470330 0.978721,-14.624658 -51.470330 0.978721,0.000000,0.000000,0.000000,False,[]
train,Warehouse_000,35,9000,0,8999,-6.408048 -86.610212 0.978721,-6.408048 -86.610212 0.978721,0.000000,0.000000,0.000000,False,[]
train,Warehouse_000,4487,9000,0,8999,-67.664191 -12.155227 0.600522,-67.664191 -12.155227 0.600522,0.000000,0.000000,0.000000,False,[]
train,Warehouse_000,4488,9000,0,8999,-66.435351 -12.585969 0.630719,-66.435351 -12.585969 0.630719,0.000000,0.000000,0.000000,False,[]
train,Warehouse_000,7342,9000,0,8999,-42.128472 -73.258607 0.978721,-42.128472 -73.258607 0.978721,0.000000,0.000000,0.000000,False,[]
train,Warehouse_000,8472,9000,0,8999,-72.989822 -47.984614 0.635409,-72.989822 -47.984614 0.635409,0.000000,0.000000,0.000000,False,[]
train,Warehouse_000,8480,9000,0,8999,-74.240108 -51.099727 0.599205,-74.240108 -51.099727 0.599205,0.000000,0.000000,0.000000,False,[]
train,Warehouse_001,247,9000,0,8999,-62.604521 -12.297619 0.978722,-62.604521 -12.297619 0.978722,0.000000,0.000000,0.000000,False,[]
train,Warehouse_001,248,9000,0,8999,-61.237621 -12.635067 0.978720,-61.237621 -12.635067 0.978720,0.000000,0.000000,0.000000,False,[]
train,Warehouse_001,249,9000,0,8999,-63.892385 -12.281605 0.636726,-63.892385 -12.281605 0.636726,0.000000,0.000000,0.000000,False,[]
train,Warehouse_001,2833,9000,0,8999,-14.624658 -51.470330 0.978721,-14.624658 -51.470330 0.978721,0.000000,0.000000,0.000000,False,[]
train,Warehouse_001,35,9000,0,8999,-6.408048 -86.610212 0.978721,-6.408048 -86.610212 0.978721,0.000000,0.000000,0.000000,False,[]
train,Warehouse_001,4487,9000,0,8999,-67.664191 -12.155227 0.600522,-67.664191 -12.155227 0.600522,0.000000,0.000000,0.000000,False,[]
train,Warehouse_001,4488,9000,0,8999,-66.435351 -12.585969 0.630719,-66.435351 -12.585969 0.630719,0.000000,0.000000,0.000000,False,[]
train,Warehouse_001,7342,9000,0,8999,-42.128472 -73.258607 0.978721,-42.128472 -73.258607 0.978721,0.000000,0.000000,0.000000,False,[]
train,Warehouse_001,8472,9000,0,8999,-72.989822 -47.984614 0.635409,-72.989822 -47.984614 0.635409,0.000000,0.000000,0.000000,False,[]
train,Warehouse_001,8480,9000,0,8999,-74.240108 -51.099727 0.599205,-74.240108 -51.099727 0.599205,0.000000,0.000000,0.000000,False,[]
train,Warehouse_002,247,9000,0,8999,-62.604521 -12.297619 0.978722,-62.604521 -12.297619 0.978722,0.000000,0.000000,0.000000,False,[]
train,Warehouse_002,248,9000,0,8999,-61.237621 -12.635067 0.978720,-61.237621 -12.635067 0.978720,0.000000,0.000000,0.000000,False,[]
